Mst. ID,Messstellen Name,Jahr,Bundesland,Flussgebiet,Seehöhe
119768,Griesner Alm,2017,Tirol,Inngebiet oberhalb der Salzach,990
119628,Griesner Kar,2017,Tirol,Inngebiet oberhalb der Salzach,911
101089,Groß St. Florian,2017,Steiermark,Murgebiet,320
107573,Groß-Gerungs,2017,Niederösterreich,Donaugebiet zwischen Enns und March,680
103697,Großarl,2017,Salzburg,Salzachgebiet,890
118612,Großgmain,2017,Salzburg,Salzachgebiet,560
107409,Großheinrichschlag,2017,Niederösterreich,Donaugebiet zwischen Enns und March,704
109660,Großkadolz,2017,Niederösterreich,Marchgebiet,190
112771,Großlobming,2017,Steiermark,Murgebiet,650
111344,Großwilfersdorf,2017,Steiermark,Raabgebiet,275
106021,Grubegg,2017,Steiermark,Ennsgebiet,790
110312,Karl,2017,Burgenland,Rabnitzgebiet,373
112599,Karlgraben,2017,Steiermark,Murgebiet,775
119594,Karlsbader Hütte,2017,Tirol,Draugebiet,2130
108738,Karlstetten,2017,Niederösterreich,Donaugebiet zwischen Enns und March,340
106823,Karlstift,2017,Niederösterreich,Donaugebiet zwischen Enns und March,919
105890,Kartellboden-Damm,2017,Tirol,Inngebiet oberhalb der Salzach,2019
114959,Kartitsch,2017,Tirol,Draugebiet,1374
110288,Kasern,2017,Tirol,Inngebiet oberhalb der Salzach,1846
119354,Kastenalm,2017,Tirol,Donaugebiet oberhalb des Inn,1230
116335,Kaumberg,2017,Niederösterreich,Donaugebiet zwischen Enns und March,573
119149,Kaunergrathütte,2017,Tirol,Inngebiet oberhalb der Salzach,2520
101873,Kaunertal-Vergötschen,2017,Tirol,Inngebiet oberhalb der Salzach,1269
102772,Kelchsau,2017,Tirol,Inngebiet oberhalb der Salzach,801
104752,Kematen am Innbach,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,355
115055,Kendlbruck,2017,Salzburg,Murgebiet,940
115923,Kernhof,2017,Niederösterreich,Donaugebiet zwischen Enns und March,751
114215,Keutschach,2017,Kärnten,Draugebiet,530
115618,Kienberg,2017,Niederösterreich,Donaugebiet zwischen Enns und March,367
115634,Kierling,2017,Niederösterreich,Donaugebiet zwischen Enns und March,232
107334,Kilb,2017,Niederösterreich,Donaugebiet zwischen Enns und March,295
101691,Kindtal,2017,Steiermark,Murgebiet,573
112383,Kirchbach in Steiermark,2017,Steiermark,Murgebiet,365
109967,Kirchberg am Wechsel,2017,Niederösterreich,Leithagebiet,563
102863,Kirchberg in Tirol,2017,Tirol,Inngebiet oberhalb der Salzach,830
104588,Kirchberg ob der Donau,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,588
102798,Kirchbichl,2017,Tirol,Inngebiet oberhalb der Salzach,496
105544,Kirchdorf an der Krems,2017,Oberösterreich,Traungebiet,456
106203,Kirchenlandl,2017,Steiermark,Ennsgebiet,510
111484,Kirchfidisch,2017,Burgenland,Raabgebiet,266
105742,Kirchschlag bei Linz,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,885
109629,Kittsee,2017,Burgenland,Donaugebiet zwischen March und Leitha,136
102848,Kitzbühel,2017,Tirol,Inngebiet oberhalb der Salzach,770
112300,Kitzeck im Sausal,2017,Steiermark,Murgebiet,485
114173,Klagenfurt (Flugplatz),2017,Kärnten,Draugebiet,450
114561,Klagenfurt,2017,Kärnten,Draugebiet,458
106765,Klammalm,2017,Tirol,Inngebiet oberhalb der Salzach,1945
103655,Klammstein,2017,Salzburg,Salzachgebiet,795
106435,Klaus an der Pyhrnbahn,2017,Oberösterreich,Ennsgebiet,461
116368,Klausen-Leopoldsdorf,2017,Niederösterreich,Donaugebiet zwischen Enns und March,434
102962,Klaushof,2017,Tirol,Inngebiet oberhalb der Salzach,1022
106401,Klein Pyhrgas,2017,Oberösterreich,Ennsgebiet,727
103705,Kleinarl,2017,Salzburg,Salzachgebiet,990
113241,Kleindorf,2017,Kärnten,Draugebiet,735
115931,Kleinpertenschlag,2017,Niederösterreich,Donaugebiet zwischen Enns und March,924
106286,Kleinreifling,2017,Oberösterreich,Ennsgebiet,414
102434,Kleinvolderberg,2017,Tirol,Inngebiet oberhalb der Salzach,660
111385,Kleinzicken,2017,Burgenland,Raabgebiet,265
110528,Kleylehof,2017,Burgenland,Rabnitzgebiet,135
114249,Klopein am Klopeiner See,2017,Kärnten,Draugebiet,470
100024,Klostertaler Gletscher,2017,Vorarlberg,Rheingebiet,2750
112763,Klosterwinkel,2017,Steiermark,Murgebiet,1162
100826,Klösterle,2017,Vorarlberg,Rheingebiet,1057
114603,Knappenberg,2017,Kärnten,Draugebiet,1050
110346,Kobersdorf,2017,Burgenland,Rabnitzgebiet,333
104539,Kollerschlag,2017,Oberösterreich,Donaugebiet zwischen Inn und Traun,725
118562,Kolm-Saigurn,2017,Salzburg,Salzachgebiet,1600
104471,Kopfing,2017,Oberösterreich,Inngebiet unterhalb der Salzach,569
100909,Kops,2017,Vorarlberg,Rheingebiet,1829
101402,Kotalm NL,2017,Tirol,Donaugebiet oberhalb des Inn,1300
104034,Ibm,2017,Oberösterreich,Salzachgebiet,427
122010,Illmitz (Biologische Station),2017,Burgenland,Rabnitzgebiet,115
115238,Imst-Obermarkter Alm,2017,Tirol,Inngebiet oberhalb der Salzach,1564
102004,Imst-Oberstadt,2017,Tirol,Inngebiet oberhalb der Salzach,860
111781,Ingering II,2017,Steiermark,Murgebiet,850
102723,Inneralpbach,2017,Tirol,Inngebiet oberhalb der Salzach,1040
109108,Innerhalbach,2017,Niederösterreich,Donaugebiet zwischen Enns und March,524
113332,Innerkrems,2017,Kärnten,Draugebiet,1520
100412,Innerlaterns,2017,Vorarlberg,Rheingebiet,1025
103051,Innerschmirn-Obern,2017,Tirol,Inngebiet oberhalb der Salzach,1632
113027,Innervillgraten,2017,Tirol,Draugebiet,1400
102327,Innsbruck (Flughafen),2017,Tirol,Inngebiet oberhalb der Salzach,579
102335,Innsbruck (Universität),2017,Tirol,Inngebiet oberhalb der Salzach,577
119404,Innsbruck-Seegrube,2017,Tirol,Inngebiet oberhalb der Salzach,1921
103036,Inzing,2017,Tirol,Inngebiet oberhalb der Salzach,610
120030,Inzinger Alm-Kaserboden,2017,Tirol,Inngebiet oberhalb der Salzach,1790
106070,Irdning,2017,Steiermark,Ennsgebiet,702
114512,Irschen-Leppen,2017,Kärnten,Draugebiet,1150
113100,Iselsberg-Penzelberg,2017,Kärnten,Draugebiet,1210
101915,Jamtalferner-Rußkopf,2017,Tirol,Inngebiet oberhalb der Salzach,2690
119305,Jamtalferner-Zunge,2017,Tirol,Inngebiet oberhalb der Salzach,2400
108613,Jauerling (ORF),2017,Niederösterreich,Donaugebiet zwischen Enns und March,955
