Mst. ID,Messstellen Name,Jahr,Bundesland,Flussgebiet,Seehöhe
102806,Ellmau,2014,Tirol,Inngebiet oberhalb der Salzach,750.0
101196,Elmen-Martinau,2014,Tirol,Donaugebiet oberhalb des Inn,954.0
111088,Eltendorf,2014,Burgenland,Raabgebiet,244.0
105643,Enns,2014,Oberösterreich,Donaugebiet zwischen Traun und Enns,259.0
107128,Ennsbach,2014,Niederösterreich,Donaugebiet zwischen Enns und March,244.0
107847,Enzersdorf im Thale,2014,Niederösterreich,Donaugebiet zwischen Enns und March,264.0
104125,Enzingerboden,2014,Salzburg,Salzachgebiet,1474.0
109157,Ernstbrunn,2014,Niederösterreich,Marchgebiet,268.0
115766,Ernsthofen,2014,Niederösterreich,Ennsgebiet,284.0
115774,Etzelsreith,2014,Niederösterreich,Donaugebiet zwischen Enns und March,532.0
103895,Eugendorf,2014,Salzburg,Salzachgebiet,520.0
101659,Faak am See,2014,Kärnten,Draugebiet,584.0
107821,Fahndorf,2014,Niederösterreich,Donaugebiet zwischen Enns und March,331.0
114652,Falkert,2014,Kärnten,Draugebiet,1855.0
113449,Farchtensee,2014,Kärnten,Draugebiet,990.0
103341,Bromberg,2014,Tirol,Inngebiet oberhalb der Salzach,1180.0
110049,Bruck an der Leitha,2014,Niederösterreich,Leithagebiet,158.0
111898,Bruck an der Mur,2014,Steiermark,Murgebiet,482.0
110056,Bruckneudorf-Heidehof,2014,Burgenland,Leithagebiet,166.0
106658,Brunnbach,2014,Oberösterreich,Ennsgebiet,595.0
106237,Brunngraben,2014,Steiermark,Ennsgebiet,710.0
101626,Buchacker,2014,Tirol,Inngebiet oberhalb der Salzach,1425.0
111989,Buchberg,2014,Steiermark,Murgebiet,880.0
110270,Buchberg,2014,Niederösterreich,Donaugebiet zwischen Enns und March,460.0
103580,Bucheben,2014,Salzburg,Salzachgebiet,1077.0
122770,Buchkogel,2014,Burgenland,Rabnitzgebiet,428.0
101394,Bärenbad,2014,Tirol,Donaugebiet oberhalb des Inn,1480.0
113787,Bärental,2014,Kärnten,Draugebiet,987.0
112490,Bärnbach,2014,Steiermark,Murgebiet,420.0
107540,Bärnkopf,2014,Niederösterreich,Donaugebiet zwischen Enns und March,962.0
103622,Böckstein,2014,Salzburg,Salzachgebiet,1140.0
100628,Bödele,2014,Vorarlberg,Rheingebiet,1150.0
111971,Bürgeralm bei Aflenz,2014,Steiermark,Murgebiet,1500.0
109082,Christenthal,2014,Niederösterreich,Donaugebiet zwischen Enns und March,650.0
100263,Dalaas,2014,Vorarlberg,Rheingebiet,951.0
100578,Damüls-Uga,2014,Vorarlberg,Rheingebiet,1913.0
106674,Defregger Haus,2014,Tirol,Draugebiet,2970.0
114389,Dellach im Drautal,2014,Kärnten,Draugebiet,628.0
110015,Deutsch Brodersdorf,2014,Niederösterreich,Leithagebiet,198.0
110692,Deutsch Jahrndorf,2014,Burgenland,Donaugebiet zwischen March und Leitha,131.0
111443,Deutsch Kaltenbrunn,2014,Burgenland,Raabgebiet,358.0
109199,Deutsch Wagram,2014,Niederösterreich,Donaugebiet zwischen Enns und March,158.0
110601,Deutschkreutz,2014,Burgenland,Rabnitzgebiet,175.0
112342,Deutschlandsberg,2014,Steiermark,Murgebiet,410.0
121012,Diedamskopf,2014,Vorarlberg,Rheingebiet,1796.0
106633,Birnberg,2014,Steiermark,Ennsgebiet,820.0
104133,Bischofshofen,2014,Salzburg,Salzachgebiet,550.0
100602,Bizau,2014,Vorarlberg,Rheingebiet,705.0
113555,Bleistätter Moor,2014,Kärnten,Draugebiet,510.0
100362,Blons,2014,Vorarlberg,Rheingebiet,772.0
101071,Bludenz,2014,Vorarlberg,Rheingebiet,578.0
116434,Blumau,2014,Niederösterreich,Donaugebiet zwischen Enns und March,233.0
101170,Boden,2014,Tirol,Donaugebiet oberhalb des Inn,1355.0
113837,Bodental,2014,Kärnten,Draugebiet,1055.0
119362,Bodenwald,2014,Tirol,Donaugebiet oberhalb des Inn,1280.0
106617,Bodinggraben,2014,Oberösterreich,Ennsgebiet,640.0
112466,Bonisdorf,2014,Burgenland,Murgebiet,376.0
106609,Bosruckhütte,2014,Oberösterreich,Ennsgebiet,1036.0
106682,Bramberg,2014,Salzburg,Salzachgebiet,844.0
100313,Brand,2014,Vorarlberg,Rheingebiet,1005.0
100438,Fussach,2014,Vorarlberg,Rheingebiet,400.0
112896,Gaberl,2014,Steiermark,Murgebiet,1160.0
105056,Gablitz,2014,Niederösterreich,Donaugebiet zwischen Enns und March,284.0
114736,Gaisberg,2014,Kärnten,Draugebiet,930.0
101667,Gaishorn,2014,Steiermark,Ennsgebiet,720.0
100420,Gaissau,2014,Vorarlberg,Rheingebiet,400.0
105619,Gallneukirchen,2014,Oberösterreich,Donaugebiet zwischen Traun und Enns,330.0
101949,Galtür,2014,Tirol,Inngebiet oberhalb der Salzach,1587.0
100156,Gargellener Kopf,2014,Vorarlberg,Rheingebiet,2210.0
115790,Gars am Kamp,2014,Niederösterreich,Donaugebiet zwischen Enns und March,270.0
101030,Gasselsdorf,2014,Steiermark,Murgebiet,780.0
110064,Gattendorf,2014,Burgenland,Leithagebiet,150.0
104927,Geboltskirchen,2014,Oberösterreich,Donaugebiet zwischen Inn und Traun,540.0
112862,Gedersberg,2014,Steiermark,Murgebiet,390.0
108761,Gedersdorf,2014,Niederösterreich,Donaugebiet zwischen Enns und March,196.0
101832,Gepatschalpe,2014,Tirol,Inngebiet oberhalb der Salzach,1899.0
109645,Geras,2014,Niederösterreich,Marchgebiet,464.0
104026,Geretsberg,2014,Oberösterreich,Inngebiet unterhalb der Salzach,505.0
102681,Gerlos,2014,Tirol,Inngebiet oberhalb der Salzach,1263.0
102699,Gerlos-Gmünd,2014,Tirol,Inngebiet oberhalb der Salzach,1180.0
107433,Gföhl,2014,Niederösterreich,Donaugebiet zwischen Enns und March,582.0
115808,Ginzersdorf,2014,Niederösterreich,Marchgebiet,176.0
102632,Ginzling,2014,Tirol,Inngebiet oberhalb der Salzach,1060.0
103879,Glanegg,2014,Salzburg,Salzachgebiet,450.0
112946,Glanz,2014,Steiermark,Murgebiet,476.0
111351,Glashütten bei Langeck,2014,Burgenland,Raabgebiet,431.0
111450,Glasing,2014,Burgenland,Raabgebiet,209.0
115071,Glein,2014,Steiermark,Murgebiet,702.0
112524,Gleinstätten,2014,Steiermark,Murgebiet,303.0
